route_key	major	minor	n_events	n_blocks	min_loss	blocks
7_6.20682	7	6	11	3	0	1+2/0;2+2/1;2+3/0
7_6.20683	7	6	11	3	0	1+2/0;2+2/1;4+4/1
7_6.20684	7	6	11	0	-1	
7_6.20685	7	6	11	0	-1	
7_6.20686	7	6	11	0	-1	
7_6.20687	7	6	11	0	-1	
7_6.20688	7	6	11	0	-1	
7_6.20689	7	6	11	0	-1	
7_6.2069	7	6	11	1	0	1+2/0
7_6.20690	7	6	11	1	1	5+5/1
7_6.20691	7	6	11	1	1	5+5/1
7_6.20692	7	6	11	0	-1	
7_6.20693	7	6	11	0	-1	
7_6.20694	7	6	11	0	-1	
7_6.20695	7	6	11	1	1	5+5/1
7_6.20696	7	6	11	1	1	5+5/1
7_6.20697	7	6	11	0	-1	
7_6.20698	7	6	11	2	0	2+2/1;2+3/0
7_6.20699	7	6	11	2	0	2+2/1;2+3/0
7_6.207	7	6	11	1	1	2+2/1
7_6.2070	7	6	11	1	0	1+2/0
7_6.20700	7	6	11	2	0	2+2/1;2+3/0
7_6.20701	7	6	11	2	0	2+2/1;2+3/0
7_6.20702	7	6	11	2	0	2+2/1;2+3/0
7_6.20703	7	6	11	2	0	2+2/1;2+3/0
7_6.20704	7	6	11	2	0	2+2/1;2+3/0
7_6.20705	7	6	11	2	0	2+2/1;2+3/0
7_6.20706	7	6	11	2	0	2+2/1;2+3/0
7_6.20707	7	6	11	2	0	2+2/1;2+3/0
7_6.20708	7	6	11	2	0	2+2/1;2+3/0
7_6.20709	7	6	11	2	0	2+2/1;2+3/0
7_6.2071	7	6	11	1	0	1+2/0
7_6.20710	7	6	11	2	0	2+2/1;2+3/0
7_6.20711	7	6	11	2	0	2+2/1;2+3/0
7_6.20712	7	6	11	2	0	2+2/1;2+3/0
7_6.20713	7	6	11	2	0	2+2/1;2+3/0
7_6.20714	7	6	11	2	0	2+2/1;2+3/0
7_6.20715	7	6	11	2	0	2+2/1;2+3/0
7_6.20716	7	6	11	2	0	2+2/1;2+3/0
7_6.20717	7	6	11	2	0	2+2/1;2+3/0
7_6.20718	7	6	11	0	-1	
7_6.20719	7	6	11	0	-1	
7_6.2072	7	6	11	1	0	1+2/0
7_6.20720	7	6	11	0	-1	
7_6.20721	7	6	11	0	-1	
7_6.20722	7	6	11	2	0	2+2/1;2+3/0
7_6.20723	7	6	11	2	0	2+2/1;2+3/0
7_6.20724	7	6	11	3	0	2+2/1;2+3/0;5+5/1
7_6.20725	7	6	11	3	0	2+2/1;2+3/0;5+5/1
7_6.20726	7	6	11	2	0	2+2/1;2+3/0
7_6.20727	7	6	11	0	-1	
7_6.20728	7	6	11	0	-1	
7_6.20729	7	6	11	0	-1	
7_6.2073	7	6	11	1	0	1+2/0
7_6.20730	7	6	11	0	-1	
7_6.20731	7	6	11	2	0	2+2/1;2+3/0
7_6.20732	7	6	11	2	0	2+2/1;2+3/0
7_6.20733	7	6	11	2	0	2+2/1;2+3/0
7_6.20734	7	6	11	2	0	2+2/1;2+3/0
7_6.20735	7	6	11	2	0	2+2/1;2+3/0
7_6.20736	7	6	11	2	0	2+2/1;2+3/0
7_6.20737	7	6	11	3	0	2+2/1;2+3/0;5+5/1
7_6.20738	7	6	11	3	0	2+2/1;2+3/0;5+5/1
7_6.20739	7	6	11	2	0	2+2/1;2+3/0
7_6.2074	7	6	11	1	0	1+2/0
7_6.20740	7	6	11	0	-1	
7_6.20741	7	6	11	0	-1	
7_6.20742	7	6	11	0	-1	
7_6.20743	7	6	11	0	-1	
7_6.20744	7	6	11	2	0	2+2/1;2+3/0
7_6.20745	7	6	11	2	0	2+2/1;2+3/0
7_6.20746	7	6	11	0	-1	
7_6.20747	7	6	11	2	0	2+2/1;2+3/0
7_6.20748	7	6	11	2	0	2+2/1;2+3/0
7_6.20749	7	6	11	2	0	2+2/1;2+3/0
7_6.2075	7	6	11	1	0	1+2/0
7_6.20750	7	6	11	0	-1	
7_6.20751	7	6	11	0	-1	
7_6.20752	7	6	11	0	-1	
7_6.20753	7	6	11	0	-1	
7_6.20754	7	6	11	0	-1	
7_6.20755	7	6	11	2	0	2+2/1;2+3/0
7_6.20756	7	6	11	2	0	2+2/1;2+3/0
7_6.20757	7	6	11	0	-1	
7_6.20758	7	6	11	2	0	2+2/1;2+3/0
7_6.20759	7	6	11	2	0	2+2/1;2+3/0
7_6.2076	7	6	11	1	0	1+2/0
7_6.20760	7	6	11	2	0	2+2/1;2+3/0
7_6.20761	7	6	11	0	-1	
7_6.20762	7	6	11	0	-1	
7_6.20763	7	6	11	0	-1	
7_6.20764	7	6	11	2	0	2+2/1;2+3/0
7_6.20765	7	6	11	0	-1	
7_6.20766	7	6	11	2	0	2+2/1;2+3/0
7_6.20767	7	6	11	2	0	2+2/1;2+3/0
7_6.20768	7	6	11	0	-1	
7_6.20769	7	6	11	0	-1	
7_6.2077	7	6	11	2	0	1+2/0;3+3/1
7_6.20770	7	6	11	2	0	2+2/1;2+3/0
7_6.20771	7	6	11	2	0	2+2/1;2+3/0
7_6.20772	7	6	11	0	-1	
7_6.20773	7	6	11	0	-1	
7_6.20774	7	6	11	0	-1	
7_6.20775	7	6	11	2	0	2+2/1;2+3/0
7_6.20776	7	6	11	2	0	2+2/1;2+3/0
7_6.20777	7	6	11	0	-1	
7_6.20778	7	6	11	0	-1	
7_6.20779	7	6	11	0	-1	
7_6.2078	7	6	11	2	0	1+2/0;3+3/1
7_6.20780	7	6	11	2	0	2+2/1;2+3/0
7_6.20781	7	6	11	2	0	2+2/1;2+3/0
7_6.20782	7	6	11	0	-1	
7_6.20783	7	6	11	0	-1	
7_6.20784	7	6	11	0	-1	
7_6.20785	7	6	11	2	0	2+2/1;2+3/0
7_6.20786	7	6	11	0	-1	
7_6.20787	7	6	11	2	0	2+2/1;2+3/0
7_6.20788	7	6	11	2	0	2+2/1;2+3/0
7_6.20789	7	6	11	0	-1	
7_6.2079	7	6	11	1	0	1+2/0
7_6.20790	7	6	11	0	-1	
7_6.20791	7	6	11	0	-1	
7_6.20792	7	6	11	0	-1	
7_6.20793	7	6	11	2	0	2+2/1;2+3/0
7_6.20794	7	6	11	2	0	2+2/1;2+3/0
7_6.20795	7	6	11	0	-1	
7_6.20796	7	6	11	2	0	2+2/1;2+3/0
7_6.20797	7	6	11	2	0	2+2/1;2+3/0
7_6.20798	7	6	11	2	0	2+2/1;2+3/0
7_6.20799	7	6	11	0	-1	
7_6.208	7	6	11	2	1	2+2/1;3+3/1
7_6.2080	7	6	11	1	0	1+2/0
7_6.20800	7	6	11	0	-1	
7_6.20801	7	6	11	0	-1	
7_6.20802	7	6	11	0	-1	
7_6.20803	7	6	11	0	-1	
7_6.20804	7	6	11	2	0	2+2/1;2+3/0
7_6.20805	7	6	11	2	0	2+2/1;2+3/0
7_6.20806	7	6	11	0	-1	
7_6.20807	7	6	11	2	0	2+2/1;2+3/0
7_6.20808	7	6	11	2	0	2+2/1;2+3/0
7_6.20809	7	6	11	2	0	2+2/1;2+3/0
7_6.2081	7	6	11	1	0	1+2/0
7_6.20810	7	6	11	0	-1	
7_6.20811	7	6	11	0	-1	
7_6.20812	7	6	11	0	-1	
7_6.20813	7	6	11	2	0	2+2/1;2+3/0
7_6.20814	7	6	11	0	-1	
7_6.20815	7	6	11	2	0	2+2/1;2+3/0
7_6.20816	7	6	11	2	0	2+2/1;2+3/0
7_6.20817	7	6	11	0	-1	
7_6.20818	7	6	11	0	-1	
7_6.20819	7	6	11	2	0	2+2/1;2+3/0
7_6.2082	7	6	11	1	0	1+2/0
7_6.20820	7	6	11	2	0	2+2/1;2+3/0
7_6.20821	7	6	11	0	-1	
7_6.20822	7	6	11	0	-1	
7_6.20823	7	6	11	0	-1	
7_6.20824	7	6	11	2	0	2+2/1;2+3/0
7_6.20825	7	6	11	0	-1	
7_6.20826	7	6	11	2	0	2+2/1;2+3/0
7_6.20827	7	6	11	2	0	2+2/1;2+3/0
7_6.20828	7	6	11	0	-1	
7_6.20829	7	6	11	0	-1	
7_6.2083	7	6	11	1	0	1+2/0
7_6.20830	7	6	11	2	0	2+2/1;2+3/0
7_6.20831	7	6	11	2	0	2+2/1;2+3/0
7_6.20832	7	6	11	0	-1	
7_6.20833	7	6	11	0	-1	
7_6.20834	7	6	11	0	-1	
7_6.20835	7	6	11	2	0	2+2/1;2+3/0
7_6.20836	7	6	11	2	0	2+2/1;2+3/0
7_6.20837	7	6	11	0	-1	
7_6.20838	7	6	11	0	-1	
7_6.20839	7	6	11	0	-1	
7_6.2084	7	6	11	1	0	1+2/0
7_6.20840	7	6	11	2	0	2+2/1;2+3/0
7_6.20841	7	6	11	0	-1	
7_6.20842	7	6	11	2	0	2+2/1;2+3/0
7_6.20843	7	6	11	2	0	2+2/1;2+3/0
7_6.20844	7	6	11	0	-1	
7_6.20845	7	6	11	0	-1	
7_6.20846	7	6	11	0	-1	
7_6.20847	7	6	11	0	-1	
7_6.20848	7	6	11	2	0	2+2/1;2+3/0
7_6.20849	7	6	11	2	0	2+2/1;2+3/0
7_6.2085	7	6	11	2	0	1+2/0;3+3/1
7_6.20850	7	6	11	0	-1	
7_6.20851	7	6	11	2	0	2+2/1;2+3/0
7_6.20852	7	6	11	2	0	2+2/1;2+3/0
7_6.20853	7	6	11	2	0	2+2/1;2+3/0
7_6.20854	7	6	11	0	-1	
7_6.20855	7	6	11	0	-1	
7_6.20856	7	6	11	0	-1	
7_6.20857	7	6	11	0	-1	
7_6.20858	7	6	11	0	-1	
7_6.20859	7	6	11	2	0	2+2/1;2+3/0
7_6.2086	7	6	11	2	0	1+2/0;3+3/1
7_6.20860	7	6	11	2	0	2+2/1;2+3/0
7_6.20861	7	6	11	0	-1	
7_6.20862	7	6	11	2	0	2+2/1;2+3/0
7_6.20863	7	6	11	2	0	2+2/1;2+3/0
7_6.20864	7	6	11	2	0	2+2/1;2+3/0
7_6.20865	7	6	11	0	-1	
7_6.20866	7	6	11	0	-1	
7_6.20867	7	6	11	0	-1	
7_6.20868	7	6	11	2	0	2+2/1;2+3/0
7_6.20869	7	6	11	2	0	2+2/1;2+3/0
7_6.2087	7	6	11	2	0	1+2/0;3+3/1
7_6.20870	7	6	11	0	-1	
7_6.20871	7	6	11	0	-1	
7_6.20872	7	6	11	0	-1	
7_6.20873	7	6	11	1	1	3+3/1
7_6.20874	7	6	11	0	-1	
7_6.20875	7	6	11	2	0	2+2/1;2+3/0
7_6.20876	7	6	11	3	0	2+2/1;2+3/0;3+3/1
7_6.20877	7	6	11	1	1	3+3/1
7_6.20878	7	6	11	2	0	2+2/1;2+3/0
7_6.20879	7	6	11	2	0	2+2/1;2+3/0
7_6.2088	7	6	11	1	0	1+2/0
7_6.20880	7	6	11	3	0	2+2/1;2+3/0;3+3/1
7_6.20881	7	6	11	0	-1	
7_6.20882	7	6	11	0	-1	
7_6.20883	7	6	11	0	-1	
7_6.20884	7	6	11	2	0	2+2/1;2+3/0
7_6.20885	7	6	11	2	0	2+2/1;2+3/0
7_6.20886	7	6	11	0	-1	
7_6.20887	7	6	11	0	-1	
7_6.20888	7	6	11	0	-1	
7_6.20889	7	6	11	2	0	2+2/1;2+3/0
7_6.2089	7	6	11	1	0	1+2/0
7_6.20890	7	6	11	2	0	2+2/1;2+3/0
7_6.20891	7	6	11	0	-1	
7_6.20892	7	6	11	0	-1	
7_6.20893	7	6	11	0	-1	
7_6.20894	7	6	11	2	0	2+2/1;2+3/0
7_6.20895	7	6	11	2	0	2+2/1;2+3/0
7_6.20896	7	6	11	0	-1	
7_6.20897	7	6	11	0	-1	
7_6.20898	7	6	11	0	-1	
7_6.20899	7	6	11	2	0	2+2/1;2+3/0
7_6.209	7	6	11	2	1	2+2/1;4+4/1
7_6.2090	7	6	11	1	0	1+2/0
7_6.20900	7	6	11	0	-1	
7_6.20901	7	6	11	2	0	2+2/1;2+3/0
7_6.20902	7	6	11	2	0	2+2/1;2+3/0
7_6.20903	7	6	11	0	-1	
7_6.20904	7	6	11	0	-1	
7_6.20905	7	6	11	2	0	2+2/1;2+3/0
7_6.20906	7	6	11	0	-1	
7_6.20907	7	6	11	2	0	2+2/1;2+3/0
7_6.20908	7	6	11	2	0	2+2/1;2+3/0
7_6.20909	7	6	11	0	-1	
7_6.2091	7	6	11	1	0	1+2/0
7_6.20910	7	6	11	0	-1	
7_6.20911	7	6	11	2	0	2+2/1;2+3/0
7_6.20912	7	6	11	2	0	2+2/1;2+3/0
7_6.20913	7	6	11	0	-1	
7_6.20914	7	6	11	0	-1	
7_6.20915	7	6	11	0	-1	
7_6.20916	7	6	11	2	0	2+2/1;2+3/0
7_6.20917	7	6	11	2	0	2+2/1;2+3/0
7_6.20918	7	6	11	0	-1	
7_6.20919	7	6	11	0	-1	
7_6.2092	7	6	11	1	0	1+2/0
7_6.20920	7	6	11	0	-1	
7_6.20921	7	6	11	2	0	2+2/1;2+3/0
7_6.20922	7	6	11	0	-1	
7_6.20923	7	6	11	2	0	2+2/1;2+3/0
7_6.20924	7	6	11	2	0	2+2/1;2+3/0
7_6.20925	7	6	11	0	-1	
7_6.20926	7	6	11	0	-1	
7_6.20927	7	6	11	2	0	2+2/1;2+3/0
7_6.20928	7	6	11	0	-1	
7_6.20929	7	6	11	2	0	2+2/1;2+3/0
7_6.2093	7	6	11	1	0	1+2/0
7_6.20930	7	6	11	2	0	2+2/1;2+3/0
7_6.20931	7	6	11	0	-1	
7_6.20932	7	6	11	0	-1	
7_6.20933	7	6	11	2	0	2+2/1;2+3/0
7_6.20934	7	6	11	0	-1	
7_6.20935	7	6	11	2	0	2+2/1;2+3/0
7_6.20936	7	6	11	2	0	2+2/1;2+3/0
7_6.20937	7	6	11	0	-1	
7_6.20938	7	6	11	0	-1	
7_6.20939	7	6	11	2	0	2+2/1;2+3/0
7_6.2094	7	6	11	1	0	1+2/0
7_6.20940	7	6	11	2	0	2+2/1;2+3/0
7_6.20941	7	6	11	0	-1	
7_6.20942	7	6	11	1	0	1+2/0
7_6.20943	7	6	11	1	0	1+2/0
7_6.20944	7	6	11	1	0	1+2/0
7_6.20945	7	6	11	1	0	1+2/0
7_6.20946	7	6	11	1	0	1+2/0
7_6.20947	7	6	11	1	0	1+2/0
7_6.20948	7	6	11	1	0	1+2/0
7_6.20949	7	6	11	1	0	1+2/0
7_6.2095	7	6	11	1	0	1+2/0
7_6.20950	7	6	11	1	0	1+2/0
7_6.20951	7	6	11	1	0	1+2/0
7_6.20952	7	6	11	1	0	1+2/0
7_6.20953	7	6	11	1	0	1+2/0
7_6.20954	7	6	11	1	0	1+2/0
7_6.20955	7	6	11	1	0	1+2/0
7_6.20956	7	6	11	1	0	1+2/0
7_6.20957	7	6	11	1	0	1+2/0
7_6.20958	7	6	11	1	0	1+2/0
7_6.20959	7	6	11	1	0	1+2/0
7_6.2096	7	6	11	2	0	1+2/0;3+3/1
7_6.20960	7	6	11	1	0	1+2/0
7_6.20961	7	6	11	1	0	1+2/0
7_6.20962	7	6	11	2	0	1+2/0;3+3/1
7_6.20963	7	6	11	4	0	1+2/0;3+3/1;4+4/1;5+5/1
7_6.20964	7	6	11	2	0	1+2/0;3+3/1
7_6.20965	7	6	11	1	0	1+2/0
7_6.20966	7	6	11	1	0	1+2/0
7_6.20967	7	6	11	1	0	1+2/0
7_6.20968	7	6	11	1	0	1+2/0
7_6.20969	7	6	11	2	0	1+2/0;3+3/1
7_6.2097	7	6	11	3	0	1+2/0;3+3/1;5+5/1
7_6.20970	7	6	11	4	0	1+2/0;3+3/1;4+4/1;5+5/1
7_6.20971	7	6	11	2	0	1+2/0;3+3/1
7_6.20972	7	6	11	1	0	1+2/0
7_6.20973	7	6	11	1	0	1+2/0
7_6.20974	7	6	11	1	0	1+2/0
7_6.20975	7	6	11	1	0	1+2/0
7_6.20976	7	6	11	1	0	1+2/0
7_6.20977	7	6	11	1	0	1+2/0
7_6.20978	7	6	11	4	0	1+2/0;3+3/1;3+4/0;4+4/1
7_6.20979	7	6	11	5	0	1+2/0;3+3/1;4+4/1;4+5/0;5+5/1
7_6.2098	7	6	11	2	0	1+2/0;3+3/1
7_6.20980	7	6	11	2	0	1+2/0;3+3/1
7_6.20981	7	6	11	1	0	1+2/0
7_6.20982	7	6	11	2	0	1+2/0;4+4/1
7_6.20983	7	6	11	4	0	1+2/0;3+3/1;3+4/0;4+4/1
7_6.20984	7	6	11	5	0	1+2/0;3+3/1;4+4/1;4+5/0;5+5/1
7_6.20985	7	6	11	2	0	1+2/0;3+3/1
7_6.20986	7	6	11	1	0	1+2/0
7_6.20987	7	6	11	2	0	1+2/0;4+4/1
7_6.20988	7	6	11	2	0	1+2/0;4+4/1
7_6.20989	7	6	11	4	0	1+2/0;3+3/1;3+4/0;4+4/1
7_6.2099	7	6	11	1	0	1+2/0
7_6.20990	7	6	11	2	0	1+2/0;4+4/1
7_6.20991	7	6	11	2	0	1+2/0;4+4/1
7_6.20992	7	6	11	4	0	1+2/0;3+3/1;3+4/0;4+4/1
7_6.20993	7	6	11	2	0	1+2/0;4+4/1
7_6.20994	7	6	11	2	0	1+2/0;3+3/1
7_6.20995	7	6	11	2	0	1+2/0;3+3/1
7_6.20996	7	6	11	3	0	1+2/0;3+3/1;3+4/0
7_6.20997	7	6	11	3	0	1+2/0;3+3/1;3+4/0
7_6.20998	7	6	11	1	0	1+2/0
7_6.20999	7	6	11	1	0	1+2/0
7_6.21	7	6	11	1	1	2+2/1
7_6.210	7	6	11	1	1	2+2/1
7_6.2100	7	6	11	1	0	1+2/0
7_6.21000	7	6	11	2	0	1+2/0;3+3/1
7_6.21001	7	6	11	1	0	1+2/0
7_6.21002	7	6	11	1	0	1+2/0
7_6.21003	7	6	11	1	0	1+2/0
7_6.21004	7	6	11	1	0	1+2/0
7_6.21005	7	6	11	1	0	1+2/0
7_6.21006	7	6	11	1	0	1+2/0
7_6.21007	7	6	11	3	0	1+2/0;3+3/1;3+4/0
7_6.21008	7	6	11	3	0	1+2/0;3+3/1;3+4/0
7_6.21009	7	6	11	3	0	1+2/0;2+2/1;2+3/0
7_6.2101	7	6	11	1	0	1+2/0
7_6.21010	7	6	11	2	0	1+2/0;2+2/1
7_6.21011	7	6	11	3	0	1+2/0;2+2/1;2+3/0
7_6.21012	7	6	11	3	0	1+2/0;2+2/1;2+3/0
7_6.21013	7	6	11	2	0	1+2/0;2+2/1
7_6.21014	7	6	11	2	0	1+2/0;2+2/1
7_6.21015	7	6	11	3	0	1+2/0;2+2/1;2+3/0
7_6.21016	7	6	11	3	0	1+2/0;2+2/1;2+3/0
7_6.21017	7	6	11	3	0	1+2/0;2+2/1;2+3/0
7_6.21018	7	6	11	2	0	1+2/0;2+2/1
7_6.21019	7	6	11	0	-1	
7_6.2102	7	6	11	1	0	1+2/0
7_6.21020	7	6	11	0	-1	
7_6.21021	7	6	11	1	1	3+3/1
7_6.21022	7	6	11	1	1	3+3/1
7_6.21023	7	6	11	3	0	2+2/1;2+3/0;3+3/1
7_6.21024	7	6	11	3	0	2+2/1;2+3/0;3+3/1
7_6.21025	7	6	11	1	1	3+3/1
7_6.21026	7	6	11	2	0	2+2/1;2+3/0
7_6.21027	7	6	11	2	0	2+2/1;2+3/0
7_6.21028	7	6	11	3	0	2+2/1;2+3/0;3+3/1
7_6.21029	7	6	11	1	1	3+3/1
7_6.2103	7	6	11	1	0	1+2/0
7_6.21030	7	6	11	0	-1	
7_6.21031	7	6	11	0	-1	
7_6.21032	7	6	11	1	1	3+3/1
7_6.21033	7	6	11	1	1	3+3/1
7_6.21034	7	6	11	3	0	2+2/1;2+3/0;3+3/1
7_6.21035	7	6	11	3	0	2+2/1;2+3/0;3+3/1
7_6.21036	7	6	11	1	1	3+3/1
7_6.21037	7	6	11	2	0	2+2/1;2+3/0
7_6.21038	7	6	11	2	0	2+2/1;2+3/0
7_6.21039	7	6	11	3	0	2+2/1;2+3/0;3+3/1
7_6.2104	7	6	11	1	0	1+2/0
7_6.21040	7	6	11	1	1	3+3/1
7_6.21041	7	6	11	0	-1	
7_6.21042	7	6	11	0	-1	
7_6.21043	7	6	11	1	1	3+3/1
7_6.21044	7	6	11	1	1	3+3/1
7_6.21045	7	6	11	3	0	2+2/1;2+3/0;3+3/1
7_6.21046	7	6	11	3	0	2+2/1;2+3/0;3+3/1
7_6.21047	7	6	11	1	1	3+3/1
7_6.21048	7	6	11	2	0	2+2/1;2+3/0
7_6.21049	7	6	11	2	0	2+2/1;2+3/0
7_6.2105	7	6	11	1	0	1+2/0
7_6.21050	7	6	11	3	0	2+2/1;2+3/0;3+3/1
7_6.21051	7	6	11	1	1	3+3/1
7_6.21052	7	6	11	0	-1	
7_6.21053	7	6	11	0	-1	
7_6.21054	7	6	11	1	1	3+3/1
7_6.21055	7	6	11	1	1	3+3/1
7_6.21056	7	6	11	3	0	2+2/1;2+3/0;3+3/1
7_6.21057	7	6	11	3	0	2+2/1;2+3/0;3+3/1
7_6.21058	7	6	11	1	1	3+3/1
7_6.21059	7	6	11	2	0	2+2/1;2+3/0
7_6.2106	7	6	11	1	0	1+2/0
7_6.21060	7	6	11	2	0	2+2/1;2+3/0
7_6.21061	7	6	11	3	0	2+2/1;2+3/0;3+3/1
7_6.21062	7	6	11	1	1	3+3/1
7_6.21063	7	6	11	0	-1	
7_6.21064	7	6	11	1	1	3+3/1
7_6.21065	7	6	11	3	0	2+2/1;2+3/0;3+3/1
7_6.21066	7	6	11	2	0	2+2/1;2+3/0
7_6.21067	7	6	11	1	1	3+3/1
7_6.21068	7	6	11	0	-1	
7_6.21069	7	6	11	1	1	3+3/1
7_6.2107	7	6	11	1	0	1+2/0
7_6.21070	7	6	11	3	0	2+2/1;2+3/0;3+3/1
7_6.21071	7	6	11	1	1	3+3/1
7_6.21072	7	6	11	2	0	2+2/1;2+3/0
7_6.21073	7	6	11	3	0	2+2/1;2+3/0;3+3/1
7_6.21074	7	6	11	0	-1	
7_6.21075	7	6	11	0	-1	
7_6.21076	7	6	11	1	1	3+3/1
7_6.21077	7	6	11	1	1	3+3/1
7_6.21078	7	6	11	3	0	2+2/1;2+3/0;3+3/1
7_6.21079	7	6	11	3	0	2+2/1;2+3/0;3+3/1
7_6.2108	7	6	11	2	0	1+2/0;5+5/1
7_6.21080	7	6	11	1	1	3+3/1
7_6.21081	7	6	11	2	0	2+2/1;2+3/0
7_6.21082	7	6	11	2	0	2+2/1;2+3/0
7_6.21083	7	6	11	3	0	2+2/1;2+3/0;3+3/1
7_6.21084	7	6	11	1	1	3+3/1
7_6.21085	7	6	11	1	1	2+2/1
7_6.21086	7	6	11	1	1	2+2/1
7_6.21087	7	6	11	1	1	2+2/1
7_6.21088	7	6	11	1	1	2+2/1
7_6.21089	7	6	11	2	0	2+2/1;2+3/0
7_6.2109	7	6	11	1	0	1+2/0
7_6.21090	7	6	11	2	0	2+2/1;2+3/0
7_6.21091	7	6	11	1	1	2+2/1
7_6.21092	7	6	11	2	0	2+2/1;2+3/0
7_6.21093	7	6	11	2	0	2+2/1;2+3/0
7_6.21094	7	6	11	2	0	2+2/1;2+3/0
7_6.21095	7	6	11	1	1	2+2/1
7_6.21096	7	6	11	1	1	2+2/1
7_6.21097	7	6	11	1	1	2+2/1
7_6.21098	7	6	11	2	0	2+2/1;2+3/0
7_6.21099	7	6	11	2	0	2+2/1;2+3/0
7_6.211	7	6	11	1	1	2+2/1
7_6.2110	7	6	11	1	0	1+2/0
7_6.21100	7	6	11	1	1	2+2/1
7_6.21101	7	6	11	1	1	2+2/1
7_6.21102	7	6	11	1	1	2+2/1
7_6.21103	7	6	11	2	0	2+2/1;2+3/0
7_6.21104	7	6	11	2	0	2+2/1;2+3/0
7_6.21105	7	6	11	1	1	2+2/1
7_6.21106	7	6	11	1	1	2+2/1
7_6.21107	7	6	11	1	1	2+2/1
7_6.21108	7	6	11	2	0	2+2/1;2+3/0
7_6.21109	7	6	11	2	0	2+2/1;2+3/0
7_6.2111	7	6	11	1	0	1+2/0
7_6.21110	7	6	11	1	1	2+2/1
7_6.21111	7	6	11	1	1	2+2/1
7_6.21112	7	6	11	1	1	2+2/1
7_6.21113	7	6	11	2	0	2+2/1;2+3/0
7_6.21114	7	6	11	2	0	2+2/1;2+3/0
7_6.21115	7	6	11	1	1	2+2/1
7_6.21116	7	6	11	1	1	2+2/1
7_6.21117	7	6	11	1	1	2+2/1
7_6.21118	7	6	11	2	0	2+2/1;2+3/0
7_6.21119	7	6	11	2	0	2+2/1;2+3/0
7_6.2112	7	6	11	2	0	1+2/0;3+3/1
7_6.21120	7	6	11	1	1	2+2/1
7_6.21121	7	6	11	1	1	2+2/1
7_6.21122	7	6	11	1	1	2+2/1
7_6.21123	7	6	11	2	0	2+2/1;2+3/0
7_6.21124	7	6	11	2	0	2+2/1;2+3/0
7_6.21125	7	6	11	1	1	2+2/1
7_6.21126	7	6	11	1	1	2+2/1
7_6.21127	7	6	11	1	1	2+2/1
7_6.21128	7	6	11	2	0	2+2/1;2+3/0
7_6.21129	7	6	11	2	0	2+2/1;2+3/0
7_6.2113	7	6	11	2	0	1+2/0;3+3/1
7_6.21130	7	6	11	1	1	2+2/1
7_6.21131	7	6	11	1	1	2+2/1
7_6.21132	7	6	11	2	0	2+2/1;2+3/0
7_6.21133	7	6	11	1	1	2+2/1
7_6.21134	7	6	11	2	0	2+2/1;2+3/0
7_6.21135	7	6	11	1	1	2+2/1
7_6.21136	7	6	11	2	0	2+2/1;2+3/0
7_6.21137	7	6	11	1	1	2+2/1
7_6.21138	7	6	11	2	0	2+2/1;2+3/0
7_6.21139	7	6	11	1	1	2+2/1
7_6.2114	7	6	11	1	0	1+2/0
7_6.21140	7	6	11	1	1	2+2/1
7_6.21141	7	6	11	2	1	2+2/1;3+3/1
7_6.21142	7	6	11	1	1	2+2/1
7_6.21143	7	6	11	2	0	2+2/1;2+3/0
7_6.21144	7	6	11	2	1	2+2/1;3+3/1
7_6.21145	7	6	11	2	0	2+2/1;2+3/0
7_6.21146	7	6	11	2	0	2+2/1;2+3/0
7_6.21147	7	6	11	3	0	2+2/1;2+3/0;3+3/1
7_6.21148	7	6	11	1	1	2+2/1
7_6.21149	7	6	11	1	1	2+2/1
7_6.2115	7	6	11	1	0	1+2/0
7_6.21150	7	6	11	1	1	2+2/1
7_6.21151	7	6	11	2	0	2+2/1;2+3/0
7_6.21152	7	6	11	2	0	2+2/1;2+3/0
7_6.21153	7	6	11	1	1	2+2/1
7_6.21154	7	6	11	1	1	2+2/1
7_6.21155	7	6	11	1	1	2+2/1
7_6.21156	7	6	11	2	0	2+2/1;2+3/0
7_6.21157	7	6	11	2	0	2+2/1;2+3/0
7_6.21158	7	6	11	1	1	2+2/1
7_6.21159	7	6	11	1	1	2+2/1
7_6.2116	7	6	11	1	0	1+2/0
7_6.21160	7	6	11	2	0	2+2/1;2+3/0
7_6.21161	7	6	11	1	1	2+2/1
7_6.21162	7	6	11	2	0	2+2/1;2+3/0
7_6.21163	7	6	11	1	1	2+2/1
7_6.21164	7	6	11	2	1	2+2/1;3+3/1
7_6.21165	7	6	11	3	0	2+2/1;2+3/0;3+3/1
7_6.21166	7	6	11	2	1	2+2/1;3+3/1
7_6.21167	7	6	11	1	1	2+2/1
7_6.21168	7	6	11	2	1	2+2/1;3+3/1
7_6.21169	7	6	11	3	0	2+2/1;2+3/0;3+3/1
7_6.2117	7	6	11	1	0	1+2/0
7_6.21170	7	6	11	2	0	2+2/1;2+3/0
7_6.21171	7	6	11	2	1	2+2/1;3+3/1
7_6.21172	7	6	11	1	1	2+2/1
7_6.21173	7	6	11	2	0	2+2/1;2+3/0
7_6.21174	7	6	11	1	1	2+2/1
7_6.21175	7	6	11	1	1	2+2/1
7_6.21176	7	6	11	1	1	2+2/1
7_6.21177	7	6	11	1	1	2+2/1
